date,variable,value
19020204,TMAX,-133
19020204,TMIN,-211
19020205,TMAX,-100
19020205,TMIN,-206
19020206,TMAX,-22
19020206,TMIN,-100
19020207,TMAX,-72
19020207,TMIN,-172
19020208,TMAX,-94
19020208,TMIN,-172
19020209,TMAX,-106
19020209,TMIN,-178
19020210,TMAX,-44
19020210,TMIN,-111
19020211,TMAX,-33
19020211,TMIN,-106
19020212,TMAX,-22
19020212,TMIN,-128
19020213,TMAX,-11
19020213,TMIN,-117
19020214,TMAX,-44
19020214,TMIN,-122
19020215,TMAX,-28
19020215,TMIN,-117
19020216,TMAX,-28
19020216,TMIN,-100
19020217,TMAX,-28
19020217,TMIN,-78
19020218,TMAX,-22
19020218,TMIN,-139
19020219,TMAX,-33
19020219,TMIN,-117
19020220,TMAX,-28
19020220,TMIN,-122
19020221,TMAX,28
19020221,TMIN,-133
19020222,TMAX,44
19020222,TMIN,-67
19020223,TMAX,72
19020223,TMIN,-6
19020224,TMAX,72
19020224,TMIN,0
19020225,TMAX,94
19020225,TMIN,-17
19020226,TMAX,94
19020226,TMIN,11
19020227,TMAX,100
19020227,TMIN,44
19020228,TMAX,50
19020228,TMIN,11
19020301,TMAX,11
19020301,TMIN,-22
19020302,TMAX,-22
19020302,TMIN,-67
19020303,TMAX,17
19020303,TMIN,-28
19020304,TMAX,11
19020304,TMIN,-22
19020305,TMAX,72
19020305,TMIN,-28
19020306,TMAX,89
19020306,TMIN,0
19020307,TMAX,67
19020307,TMIN,22
19020308,TMAX,78
19020308,TMIN,28
19020309,TMAX,122
19020309,TMIN,22
19020310,TMAX,206
19020310,TMIN,56
19020311,TMAX,156
19020311,TMIN,128
19020312,TMAX,150
19020312,TMIN,44
19020313,TMAX,133
19020313,TMIN,17
19020314,TMAX,150
19020314,TMIN,39
19020315,TMAX,172
19020315,TMIN,89
19020316,TMAX,89
19020316,TMIN,-11
19020317,TMAX,-11
19020317,TMIN,-122
19020318,TMAX,-6
19020318,TMIN,-106
19020319,TMAX,67
19020319,TMIN,-56
19020320,TMAX,122
19020320,TMIN,17
19020321,TMAX,78
